time,turbine_num,wind_speed,kw,wind_speed_sd,wind_speed_max,torque_actual_value,blade_1_actual_angle,blade_2_actual_angle,blade_3_actual_angle,blade_1_2_act_angle_diff,blade_2_3_act_angle_diff,blade_3_1_act_angle_diff,ot,sot,dt,lot,wot,est,mt,rt,eect
11/1/2015 11:00,22,0.1611436,0.044556557,0.084429825,0.110655738,0.079778984,0.455934979,0.456576917,0.032196569,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 11:10,22,0.154320988,0.033071222,0.067982456,0.107488823,0.06203955,0.457815248,0.458119743,0.035479771,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 11:20,22,0.158219623,0.038234578,0.070175439,0.109538003,0.070182241,0.457087402,0.45752252,0.034208854,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 11:30,22,0.161468486,0.042688146,0.078947368,0.113450075,0.076967817,0.455874325,0.45647738,0.031984749,8.75E-05,0,8.94E-05,600,600,0,0,0,0,0,0,0
11/1/2015 11:40,22,0.152696556,0.034953551,0.08004386,0.118293592,0.064947654,0.456602171,0.457124372,0.033361576,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 11:50,22,0.151397011,0.029953725,0.073464912,0.109910581,0.05719271,0.457815248,0.458119743,0.035479771,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 12:00,22,0.147823262,0.022542709,0.069078947,0.09947839,0.045657231,0.458361133,0.45856766,0.036432959,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 12:10,22,0.157894737,0.036755854,0.082236842,0.113636364,0.067661884,0.456238248,0.45682576,0.032726117,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 12:20,22,0.170565302,0.054865871,0.077850877,0.119411326,0.095676619,0.454357979,0.455282934,0.029442915,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 12:30,22,0.177387914,0.065279566,0.077850877,0.128353204,0.111962001,0.452599017,0.453839646,0.026371531,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 12:40,22,0.194282001,0.099450263,0.070175439,0.127980626,0.164889492,0.447382786,0.449559548,0.017263292,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 12:50,22,0.209226771,0.128781184,0.074561404,0.132451565,0.209189608,0.446351671,0.448713482,0.015462826,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 13:00,22,0.187134503,0.083622699,0.074561404,0.134314456,0.140267546,0.449202402,0.451052605,0.020440585,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 13:10,22,0.151721897,0.029417905,0.084429825,0.113077496,0.056417216,0.457087402,0.45752252,0.034208854,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 13:20,22,0.138401559,0.015639679,0.066885965,0.112146051,0.035091121,0.458361133,0.45856766,0.036432959,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 13:30,22,0.142300195,0.017448941,0.069078947,0.111214605,0.037805351,0.458361133,0.45856766,0.036432959,0,0,0,600,600,0,0,0,0,0,0,0
